Age,YOS,entry_age,start_sal,count_start,salary_increase_yos,Salary.Growth,salary_increase_age,salary_increase,Salary,FinalAvgSalary,EEContrib,DBEEBalance,CumulativeWage,MaxBenefit,TermAfter5,TermBefore5Under30,TermBefore5B3039,TermBefore5Over39,Reduced,UnreducedRule90,UnreducedNoRule90,TermBefore5,retirement_cond,retirement_type,SepRateMale,SepRateFemale,SepRate,RemainingProb,SepProb,PenWealth,PVPenWealth,PVCumWage
22,0,22,31725.060168471722,848,0.1075,46077.88475760508,0,0.1075,31725.060168471722,NA,2220.7542117930207,0,0,0,0.11,0.28,0,0,0,0,0,0.28,FALSE,No,0.28,0.28,0.28,1,0,0,0,0
23,1,22,31725.060168471722,848,0.075,48727.36313116738,0.0575,0.075,35135.50413658243,NA,2459.48528956077,2220.7542117930207,31725.060168471722,0,0.11,0.24,0,0,0,0,0,0.24,FALSE,No,0.24,0.24,0.24,0.72,0.28,2220.7542117930207,2171.8867596997757,31026.953709996797
24,2,22,31725.060168471722,848,0.0575,51529.18651120951,0.0575,0.0575,37770.66694682612,NA,2643.9466862778286,4824.588525120336,69081.31851684718,0,0.11,0.18,0,0,0,0,0,0.18,FALSE,No,0.18,0.18,0.18,0.5472,0.17279999999999995,4824.588525120336,4614.595584789988,66074.51511346507
25,3,22,31725.060168471722,848,0,54492.11473560406,0.0575,0.0575,39942.480296268615,34877.07708396009,2795.973620738803,7782.133465530986,111687.67775985261,1398.3670756832794,0.1,0.16,0,0,0,0,0,0.16,FALSE,No,0.16,0.16,0.16,0.44870400000000005,0.09849599999999997,7782.133465530986,7279.620255590946,104475.70514200405
26,4,22,31725.060168471722,848,0,57625.4113329013,0.0575,0.0575,42239.172913304064,37616.21712655905,2956.742103931285,11083.945761529303,159448.29549931092,2152.1348826010794,0.1,0.13,0,0,0,0,0,0.13,FALSE,No,0.13,0.13,0.13,0.37691136000000003,0.07179264000000002,11083.945761529303,10140.074019067733,145870.212049298
27,5,22,31725.060168471722,848,0,60938.87248454313,0.0575,0.0575,44667.925355819054,39984.1067187996,3126.754774907334,14761.144339959992,212848.84909756677,3060.389010119823,0.1,0,0,0,0,0,0,0,FALSE,No,0.1,0.1,0.1,0.3279128832,0.048998476800000024,14761.144339959992,13206.977670136605,190438.48717988073
28,6,22,31725.060168471722,848,0,64442.85765240437,0.0575,0.0575,47236.331063778656,42283.192855130575,3306.543174464506,18847.373496964723,272416.1938902155,4156.53274669348,0.1,0,0,0,0,0,0,0,FALSE,No,0.1,0.1,0.1,0.29512159488,0.03279128832,18847.373496964723,16491.90927282798,238370.78173306593
29,7,22,31725.060168471722,848,0,68148.32196741762,0.0575,0.0575,49952.420099945935,44714.47644430059,3496.669406996216,23378.995948731936,338721.65852630924,5488.6081245361265,0.1,0,0,0,0,0,0,0,FALSE,No,0.1,0.1,0.1,0.265609435392,0.02951215948800001,23378.995948731936,20007.030718388727,289867.65051760135
30,8,22,31725.060168471722,848,0,72066.85048054415,0.0575,0.0575,52824.68425569283,47285.55883984788,3697.7278978984987,28395.30009239573,412384.5947230968,7099.808354911785,0.065,0,0,0,0,0,0,0,FALSE,No,0.065,0.065,0.065,0.23904849185280003,0.026560943539199966,28395.30009239573,23765.115503487934,345140.4807684353
31,9,22,31725.060168471722,848,0,76210.69438317545,0.0575,0.0575,55862.10360039517,50004.47847313914,3910.347252027662,33938.72249629995,494076.20060940646,9040.763014117134,0.065,0,0,0,0,0,0,0,FALSE,No,0.065,0.065,0.065,0.22351033988236804,0.015538151970431985,33938.72249629995,27779.577783217705,404412.0472466819
32,10,22,31725.060168471722,848,0,80592.80931020805,0.0575,0.0575,59074.1745574179,52879.73598534465,4135.192219019254,40055.086710587115,584523.63825246,11370.484296408371,0.065,0,0,0,0,0,0,0,FALSE,No,0.065,0.065,0.065,0.20898216779001413,0.014528172092353908,40055.086710587115,32064.502755990106,467917.09490254277
33,11,22,31725.060168471722,848,0,85226.89584554502,0.0575,0.0575,62470.93959446943,55920.320804501964,4372.96577161286,46793.85956579453,684514.4674875501,14157.954337385121,0.065,0,0,0,0,0,0,0,FALSE,No,0.065,0.065,0.065,0.1953983268836632,0.013583840906350925,46793.85956579453,36634.678439945346,535902.9504424044
34,12,22,31725.060168471722,848,0,90127.44235666387,0.0575,0.0575,66063.01862115144,59135.73925076083,4624.411303480601,54208.426209184036,794901.419806148,17483.43475914637,0.065,0,0,0,0,0,0,0,FALSE,No,0.065,0.065,0.065,0.18269743563622512,0.01270089124743809,54208.426209184036,41505.62890311006,608630.164205719
35,13,22,31725.060168471722,848,0,95309.77029217205,0.0575,0.0575,69861.64219186765,62536.04425767959,4890.314953430736,62356.385216261595,916607.53781373,21440.59399040907,0.055,0,0,0,0,0,0,0,FALSE,No,0.055,0.055,0.055,0.1708221023198705,0.011875333316354625,62356.385216261595,46693.649012282156,686373.1838247245
36,14,22,31725.060168471722,848,0,100313.53323251108,0.0575,0.0575,73878.68661790004,66131.86680249617,5171.508063253003,71299.86520874932,1050631.7076525588,26138.521513439755,0.055,0,0,0,0,0,0,0,FALSE,No,0.055,0.055,0.055,0.16142688669227762,0.009395215627592879,71299.86520874932,52215.840768474845,769421.0612107147
37,15,22,31725.060168471722,848,0,105579.99372721791,0.0575,0.0575,78126.71109842931,69934.44914363971,5468.869776890052,81105.86451057103,1198054.6138061378,31703.956737110457,0.055,0,0,0,0,0,0,0,FALSE,No,0.055,0.055,0.055,0.15254840792420232,0.008878478768075293,81105.86451057103,58090.151299733705,858078.19448459
38,16,22,31725.060168471722,848,0,111122.94339789684,0.0575,0.0575,82618.996986589,73955.679969399,5783.32978906123,91846.6154806482,1360045.1478709967,38284.37421276406,0.055,0,0,0,0,0,0,0,FALSE,No,0.055,0.055,0.055,0.1441582454883712,0.008390162435831128,91846.6154806482,64335.412585249964,952665.1065469437
39,17,22,31725.060168471722,848,0,116956.89792628643,0.0575,0.0575,87369.58931331788,78208.13156763944,6115.871251932252,103599.97527595155,1537867.3052085554,46050.882388222635,0.055,0,0,0,0,0,0,0,FALSE,No,0.055,0.055,0.055,0.13622954198651077,0.007928703501860423,103599.97527595155,70971.38298793869,1053519.262064159
40,18,22,31725.060168471722,848,0,123097.13506741647,0.0525,0.0525,92393.34069883366,82705.09913277873,6467.533848918357,116449.84492082066,1732887.6058864722,55202.29470631746,0.045,0,0,0,0,0,0,0,FALSE,No,0.045,0.045,0.045,0.12873691717725266,0.007492624809258108,116449.84492082066,78018.7906760358,1160995.924732063
41,19,22,31725.060168471722,848,0,129559.73465845584,0.0525,0.0525,97243.99108552243,87460.64233291351,6807.079375986571,130486.61868959236,1946583.078997359,65969.33963760371,0.045,0,0,0,0,0,0,0,FALSE,No,0.045,0.045,0.045,0.1229437559042763,0.005793161272976369,130486.61868959236,85499.37901780102,1275469.056767795
42,20,22,31725.060168471722,848,0,136361.62072802478,0.0525,0.0525,102349.30061751236,92335.64036589132,7164.451043225866,145775.3282804024,2180087.8856126964,78488.67395041423,0.045,0,0,0,0,0,0,0,FALSE,No,0.045,0.045,0.045,0.11741128688858386,0.005532469015692432,145775.3282804024,93415.23152599137,1397036.2268009214
43,21,22,31725.060168471722,848,0,143520.60581624607,0.0525,0.0525,107722.63889993176,97328.87746728948,7540.584722995223,162415.17566185442,2435043.3382230974,93005.12799967645,0.045,0,0,0,0,0,0,0,FALSE,No,0.045,0.045,0.045,0.11212777897859758,0.0052835079099862875,162415.17566185442,101788.08783784152,1526079.100613359
44,22,22,31725.060168471722,848,0,151055.43762159898,0.0525,0.0525,113378.07744217818,102438.64353432218,7936.465420952473,180512.74680287018,2713219.010798646,109793.76825565836,0.045,0,0,0,0,0,0,0,FALSE,No,0.045,0.045,0.045,0.10708202892456069,0.005045750054036888,180512.74680287018,110640.69822507116,1662998.6031962924
45,23,22,31725.060168471722,848,0,158985.84809673292,0.0525,0.0525,119330.42650789254,107816.6723198741,8353.129855552479,200182.54076600922,3016522.4189967294,129347.54668608351,0.042,0,0,0,0,0,0,0,FALSE,No,0.042,0.042,0.042,0.10226333762295545,0.004818691301605241,200182.54076600922,119996.86874097059,1808215.8582933138
46,24,22,31725.060168471722,848,0,166537.67588132774,0.0525,0.0525,125595.27389955688,113477.04761666749,8791.669172968983,221547.5357713523,3347009.414834393,152099.51459603469,0.042,0,0,0,0,0,0,0,FALSE,No,0.042,0.042,0.042,0.09796827744279132,0.004295060180164123,221547.5357713523,129881.50833615079,1962173.1729060386
