Age,YOS,entry_age,start_sal,salary_increase,Salary,RemainingProb,DC_EEContrib,DC_ERContrib,DC_Contrib,DC_balance,RealDC_balance,RealPenWealth,RealHybridWealth
20,0,20,13910,0.10169427400809392,13910,1,973.7,973.7,1947.4,0,0,0,0
21,1,20,13910,0.08673568502023478,15324.567351452586,0.8810743013225414,1072.719714601681,1072.719714601681,2145.439429203362,1947.4,1904.547677261614,1224.3520782396088,3128.899755501223
22,2,20,13910,0.05807856167341159,16653.75419831955,0.693063135468947,1165.7627938823687,1165.7627938823687,2331.5255877647373,4229.157429203362,4045.080963603386,2564.4868805238925,6609.5678441272785
23,3,20,13910,0.05084713700404696,17620.980288620493,0.5906501833265176,1233.4686202034345,1233.4686202034345,2466.937240406869,6856.7240370123345,6413.966993487767,4010.431753999192,10424.39874748696
24,4,20,13910,0.048347137004046956,18516.956687501588,0.5243606717705611,1296.1869681251112,1296.1869681251112,2592.3739362502224,9803.631960010069,8968.78745791374,5529.909240125199,14498.69669803894
25,5,20,13910,0.04584713700404695,19412.198529370227,0.47454640795235786,1358.8538970559161,1358.8538970559161,2717.7077941118323,13082.260133460995,11704.859289927244,7115.614595324419,18820.473885251664
26,6,20,13910,0.04473142466936464,20302.192254896025,0.4340825118179898,1421.1534578427218,1421.1534578427218,2842.3069156854435,16715.7261369151,14626.666093492504,8766.150769911907,23392.816863404412
27,7,20,13910,0.04223142466936464,21210.338238368866,0.400324533297961,1484.7236766858207,1484.7236766858207,2969.4473533716414,20728.1338821846,17738.503921432737,10479.842337867221,28218.346259299957
28,8,20,13910,0.04223142466936464,22106.081039894285,0.37319511000645667,1547.4256727926002,1547.4256727926002,3094.8513455852003,25148.550607309164,21047.78635842158,12256.861029641921,33304.6473880635
29,9,20,13910,0.039731424669364634,23039.652336065454,0.35121978179354657,1612.775663524582,1612.775663524582,3225.551327049164,30003.80049540601,24558.759091334265,14095.123611455821,38653.882702790084
30,10,20,13910,0.039731424669364634,23955.05054726419,0.3327807432493854,1676.8535383084934,1676.8535383084934,3353.707076616987,35329.61785713359,28281.71705963916,15996.273208143708,44277.990267782865
31,11,20,13910,0.03723142466936464,24906.81883353364,0.31583615574513185,1743.477318347355,1743.477318347355,3486.95463669471,41156.39818374993,32221.138140743755,17957.934080785308,50179.07222152906
32,12,20,13910,0.03611571233468232,25834.13518268786,0.30050192930986513,1808.3894627881505,1808.3894627881505,3616.778925576301,47524.30069330714,36387.811386452595,19981.613287090586,56369.42467354318
33,13,20,13910,0.03611571233468232,26767.153377361108,0.2862228826510995,1873.7007364152778,1873.7007364152778,3747.4014728305556,54467.78066741494,40786.51166422949,22064.655214709903,62851.16687893939
34,14,20,13910,0.034999999999999996,27733.8681887562,0.2729182597195308,1941.3707732129342,1941.3707732129342,3882.7415464258684,62027.92678696454,45425.616708028676,24206.532333585757,69632.14904161444
35,15,20,13910,0.034999999999999996,28704.553575362665,0.2605142475971144,2009.3187502753867,2009.3187502753867,4018.6375005507734,70252.62320847793,50316.774699464135,26408.560324869795,76725.33502433394
36,16,20,13910,0.03388428766531768,29709.212950500358,0.24894333414324848,2079.6449065350253,2079.6449065350253,4159.2898130700505,79188.94433362216,55469.1468948837,28670.130791088504,84139.2776859722
37,17,20,13910,0.03388428766531768,30715.888468425284,0.23814372939942186,2150.1121927897702,2150.1121927897702,4300.2243855795405,88891.46025004577,60895.283545763195,30992.529972085522,91887.81351784871
38,18,20,13910,0.0325,31756.674469185222,0.22805884406756716,2222.9672128429656,2222.9672128429656,4445.934425685931,99414.08685312852,66605.21392464914,33375.07069433806,99980.2846189872
39,19,20,13910,0.0325,32788.766389433746,0.2186368191149693,2295.2136472603624,2295.2136472603624,4590.427294520725,110819.00735853346,72612.4748091082,35819.00933608167,108431.48414518987
40,20,20,13910,0.03,33854.401297090335,0.20982269259758524,2369.8080907963235,2369.8080907963235,4739.616181592647,123166.76516815153,78927.29188274495,38323.09095861667,117250.38284136161
41,21,20,13910,0.03,34870.03333600305,0.20204018727988712,2440.9023335202137,2440.9023335202137,4881.804667040427,136528.0549115148,85564.23123043678,40888.52402547812,126452.7552559149
42,22,20,13910,0.03,35916.13433608314,0.19505144229015026,2514.1294035258197,2514.1294035258197,5028.258807051639,150966.82342236125,92531.27575811447,43511.87064099921,136043.14639911367
43,23,20,13910,0.03,36993.61836616563,0.18894359982795977,2589.5532856315945,2589.5532856315945,5179.106571263189,166562.75986897817,99843.92023725054,46194.224726902146,146038.14496415269
44,24,20,13910,0.03,38103.42691715061,0.18346736517123152,2667.2398842005427,2667.2398842005427,5334.4797684010855,183401.25963106984,107518.38041754246,48936.69968085275,156455.0800983952
45,25,20,13910,0.03,39246.529724665124,0.1786691683056798,2747.257080726559,2747.257080726559,5494.514161453118,201573.82757364583,115571.62652838684,51740.42871531694,167312.05524370377
46,26,20,13910,0.03,40423.92561640508,0.1744527281723351,2829.674793148356,2829.674793148356,5659.349586296712,221178.50966525415,124021.41833671974,54606.56520225726,178627.983538977
47,27,20,13910,0.03,41636.64338489724,0.17082959354565308,2914.5650369428067,2914.5650369428067,5829.1300738856135,242320.35492811867,132886.34183352452,57536.28302376975,190422.62485729426
48,28,20,13910,0.03,42885.74268644415,0.16767066091033297,3002.001988051091,3002.001988051091,6004.003976102182,265111.9098469726,142185.8476246667,60530.77692876295,202716.62455342966
49,29,20,13910,0.03,44172.31496703748,0.16482164835721225,3092.0620476926238,3092.0620476926238,6184.1240953852475,289673.7475123629,151940.2911052308,65650.83299430722,217591.12409953802
50,30,20,13910,0.03,45497.4844160486,0.162322763414632,3184.8239091234027,3184.8239091234027,6369.647818246805,316135.03393361357,162170.9745002114,77125.83178289738,239296.80628310877
51,31,20,13910,0.03,46862.408948530065,0.16015018885446128,3280.368626397105,3280.368626397105,6560.73725279421,344634.1341272133,172900.19085826035,93165.72046908969,266065.91132735007
52,32,20,13910,0.03,48268.28121698597,0.1582912567266658,3378.779685189018,3378.779685189018,6757.559370378036,375319.2607689125,184151.27008921906,112346.44983303211,296497.7199222512
53,33,20,13910,0.03,49716.329653495544,0.15657687177887053,3480.1430757446883,3480.1430757446883,6960.286151489377,408349.1683931144,195948.62714037998,135258.2381206782,331206.8652610582
54,34,20,13910,0.03,51207.81954310041,0.1550376314734942,3584.5473680170294,3584.5473680170294,7169.094736034059,443893.8963321218,208317.81241083212,162599.16547362437,370916.9778844565
55,35,20,13910,0.03,52744.05412939342,0.1535910415974242,3692.08378905754,3692.08378905754,7384.16757811508,482135.5638114044,221285.56450786066,195192.09006160035,416477.654569461
56,36,20,13910,0.03,54326.37575327523,0.12287283327793937,3802.8463027292664,3802.8463027292664,7605.692605458533,523269.2208563178,234879.86545420054,200684.0890831941,435563.95453739463
57,37,20,13910,0.03,55956.16702587348,0.0982982666223515,3916.931691811144,3916.931691811144,7833.863383622288,567503.7589217186,249129.99845999852,206088.4505479171,455218.4490079156
58,38,20,13910,0.03,57634.852036649696,0.0786386132978812,4034.439642565479,4034.439642565479,8068.879285130958,615062.8854298611,264066.6083786275,211355.38707981372,475421.9954584412
59,39,20,13910,0.03,59363.897597749194,0.06291089063830496,4155.472831842444,4155.472831842444,8310.945663684888,666186.1666950824,279721.76497103064,216463.0006416084,496184.765612639
60,40,20,13910,0.03,61144.814525681664,0.050328712510643976,4280.137016797717,4280.137016797717,8560.274033595433,721130.1440274231,296129.0291090657,221387.18661624036,517516.2157253061
61,41,20,13910,0.03,62979.15896145212,0.040262970008515184,4408.541127301649,4408.541127301649,8817.082254603298,780169.5281429383,313323.5220543813,226245.31234699456,539568.8344013758
